frame,x,y,w,h,t,noX,noY,neX,neY,taX,taY,trk
0,59,573,43,76,5.21,32,560,38,561,80,586,3
0,29,641,56,107,0.0,16,606,16,613,19,689,4
0,62,321,44,82,2.54,83,337,78,320,52,284,5
0,88,332,42,68,4.65,60,340,62,334,98,324,6
0,112,307,46,81,2.29,134,326,118,315,88,284,7
0,230,335,66,125,3.21,220,388,220,387,224,288,8
0,241,384,68,136,0.04,228,322,229,334,232,434,9
0,213,460,59,136,0.04,220,404,214,411,200,520,10
0,297,404,78,124,0.73,329,359,312,355,245,433,11
0,281,298,59,101,1.63,322,314,303,299,236,284,12
0,351,288,61,106,5.09,313,279,318,281,394,286,13
0,397,321,60,128,1.03,440,280,429,288,345,341,14
0,498,309,71,127,4.78,444,293,448,290,551,302,15
0,626,318,72,150,4.78,560,331,571,302,689,308,16
0,759,365,70,159,3.14,755,428,763,405,747,293,17
0,407,400,62,148,1.68,472,405,447,402,346,391,18
0,677,462,57,188,2.47,729,528,712,507,626,401,19
0,355,478,82,139,1.84,411,492,386,479,289,493,20
0,337,567,56,145,2.92,359,628,342,617,318,503,21
0,413,526,74,141,4.71,351,523,363,525,468,515,22
0,409,586,78,141,3.73,381,641,377,626,425,530,23
0,691,585,72,141,2.18,738,622,716,601,630,571,24
0,440,629,63,135,4.08,393,659,396,654,481,596,25
0,481,687,58,124,3.8,452,733,454,729,507,640,26
0,555,668,69,159,3.4,538,742,538,728,581,607,27
0,437,724,74,140,-0.69,390,688,392,691,460,777,28
0,527,775,61,136,-1.77,464,799,472,796,578,756,29
0,709,832,71,130,4.92,664,823,669,831,772,841,30
0,464,810,70,168,5.28,405,763,415,778,514,826,31
0,440,812,70,164,5.9,406,744,418,771,474,872,32
0,378,770,66,131,6.26,379,723,368,719,362,826,33
0,295,764,46,108,1.76,344,773,336,770,245,756,34
0,200,745,50,125,5.28,153,719,170,728,240,771,35
0,264,817,82,105,1.3,307,819,286,830,223,822,36
0,318,850,70,137,5.57,277,833,285,835,352,898,37
0,667,949,67,161,5.17,611,920,614,933,724,987,38
0,894,586,97,237,3.35,865,686,861,646,876,511,39
0,1085,633,115,210,3.45,1051,717,1032,689,1080,549,40
0,872,877,117,196,3.35,832,954,818,926,858,793,41
0,1313,474,75,178,2.73,1345,546,1343,521,1264,411,42
0,1162,363,92,180,1.69,1246,358,1225,356,1083,345,43
0,1309,386,86,162,4.81,1230,375,1253,360,1383,392,44
0,1228,581,99,182,1.24,1314,577,1303,591,1166,635,45
0,1408,536,112,170,3.49,1364,597,1357,558,1421,459,46
0,1588,428,74,144,4.81,1523,424,1542,407,1646,429,47
0,1493,519,57,149,4.63,1424,524,1438,524,1559,514,48
0,1609,515,82,117,2.07,1644,545,1650,520,1562,491,49
0,1576,576,64,139,1.74,1634,585,1629,581,1549,556,50
0,1557,638,77,138,1.28,1616,619,1608,620,1504,670,51
